ray_id, impact parameter, ray_start(xyz), ray_end (xyz)
0 41.63 -7.046167e+01 1.991894e+02 1.399697e+02 9.193859e+01 -2.271822e+02 -6.456263e+01
1 25.10 -4.882764e+01 1.103468e+02 2.203844e+02 9.445573e+01 -1.177840e+02 -2.008355e+02
2 20.47 2.113902e+02 -1.330414e+02 -2.309078e+01 -2.115552e+02 1.335851e+02 -1.784507e+01
3 43.44 -8.748602e+01 1.589694e+02 -1.773763e+02 9.447849e+01 -8.365746e+01 2.201424e+02
4 16.37 -1.624979e+02 8.902257e+01 1.686341e+02 1.441720e+02 -1.161571e+02 -1.687898e+02
5 23.72 2.390838e+01 -7.678119e+01 2.378989e+02 -3.454592e+01 3.139367e+01 -2.467466e+02
6 27.05 5.836706e+01 1.157811e+02 -2.154525e+02 -4.407484e+01 -6.865534e+01 2.378563e+02
7 34.36 -1.518118e+02 2.015212e+02 -4.824191e+00 1.286430e+02 -2.057095e+02 6.939354e+01
8 12.34 1.869107e+01 2.495793e+02 3.616934e+00 -3.273923e+00 -2.497929e+02 1.565540e+01
9 46.34 2.451349e+02 -5.293801e+01 -4.187374e+01 -2.192471e+02 1.286629e+02 -4.853181e+00
10 16.30 2.498240e+01 2.422288e+02 -5.887811e+01 -2.117663e+01 -2.481632e+02 2.705810e+01
11 40.78 -2.484069e+01 -2.133512e+02 -1.342654e+02 9.840258e+01 1.807724e+02 1.476525e+02
12 18.69 2.015588e+02 -1.341502e+02 -6.501610e+01 -1.772081e+02 1.607102e+02 7.495872e+01
13 29.85 1.689901e+02 -1.827533e+02 3.787290e+01 -1.838250e+02 1.710200e+02 1.874358e+01
14 13.30 2.273740e+02 -1.046375e+02 -5.393536e+00 -2.245777e+02 1.059679e+02 3.182265e+01
15 11.30 2.408148e+02 6.403655e+01 -2.313682e+01 -2.362288e+02 -6.954475e+01 4.457863e+01
16 39.37 2.175312e+02 8.093215e+01 1.008960e+02 -2.008400e+02 -1.434390e+02 -5.602128e+01
