NIII 989.799000
SiII 989.873100
SiII 1020.698900
SiII 1190.415800
SiII 1193.289700
SiII 1260.422100
SiII 1304.370200
CII 1036.336700
CII 1334.532300
CII* 1037.018200
CII* 1335.707700
OVI 1031.926100
OVI 1037.616700
OVI 1031.926100
OVI 1037.616700
NV 1238.821000
NV 1242.804000
NV 1238.821000
NV 1242.804000
CIII 977.020100
HI 972.536700
HI 1025.722200
HI 1215.670000
NII 1083.993700
SiII* 1197.393800
SiII* 1264.737700
SiII* 1265.002000
SiII* 1309.275700
SiIII 1206.500000
SiIV 1393.760200
SiIV 1402.772900
