#Ion	Wavelength [A]	gamma		f_value		alt. name
H I	912.703200	1.405000e+05	5.264000e-05	HI 912d
H I	912.767600	1.551000e+05	5.812000e-05	HI 912e
H I	912.838900	1.717000e+05	6.435000e-05	HI 912f
H I	912.917900	1.907000e+05	7.148000e-05	HI 912g
H I	913.005900	2.128000e+05	7.978000e-05	HI 913a
H I	913.104200	2.383000e+05	8.936000e-05	HI 913b
H I	913.214600	2.681000e+05	1.006000e-04	HI 913c
H I	913.339100	3.031000e+05	1.137000e-04	HI 913d
H I	913.480300	3.444000e+05	1.293000e-04	HI 913e
H I	913.641100	3.933000e+05	1.477000e-04	HI 913f
H I	913.825600	4.523000e+05	1.699000e-04	HI 913g
H I	914.038500	5.237000e+05	1.968000e-04	HI 914a
H I	914.286100	6.109000e+05	2.297000e-04	HI 914b
H I	914.576200	7.186000e+05	2.703000e-04	HI 914c
H I	914.919200	8.533000e+05	3.212000e-04	HI 914d
H I	915.328900	1.024000e+06	3.858000e-04	HI 915a
H I	915.823800	1.243000e+06	4.689000e-04	HI 915b
H I	916.429100	1.529000e+06	5.777000e-04	HI 916
H I	917.180500	1.911000e+06	7.231000e-04	HI 917
H I	918.129300	2.432000e+06	9.219000e-04	HI 918
H I	919.351300	3.160000e+06	1.201000e-03	HI 919
H I	920.963000	4.210000e+06	1.606000e-03	HI 920
H I	923.150300	5.785000e+06	2.217000e-03	HI 923
H I	926.225600	8.255000e+06	3.185000e-03	HI 926
H I	930.748200	1.236000e+07	4.816000e-03	HI 930
H I	937.803400	2.450000e+07	7.803000e-03	HI 937
H I	949.743000	4.204000e+07	1.395000e-02	HI 949
H I	972.536700	8.127000e+07	2.901000e-02	HI 972
H I	1025.722200	1.897000e+08	7.914000e-02	HI 1025
H I	1215.670000	6.265000e+08	4.164000e-01	HI 1215
O VI	1031.926100	4.149000e+08	1.325000e-01	OVI 1031
O VI	1037.616700	4.076000e+08	6.580000e-02	OVI 1037
C II	543.257000	0.000000e+00	3.490000e-02	CII 543
C II	560.239400	0.000000e+00	5.710000e-02	CII 560
C II	594.800000	0.000000e+00	1.170000e-01	CII 594
C II	687.052600	0.000000e+00	3.360000e-01	CII 687
C II	858.091800	0.000000e+00	1.300000e-02	CII 858
C II	903.623500	0.000000e+00	1.680000e-01	CII 903a
C II	903.961600	0.000000e+00	3.360000e-01	CII 903b
C II	1036.336700	2.200000e+09	1.180000e-01	CII 1036
C II	1334.532300	2.880000e+08	1.280000e-01	CII 1334
C II	2325.403000	0.000000e+00	4.480000e-08	CII 2325
C III	977.020100	1.760000e+09	7.570000e-01	CIII 977
C IV	1548.204000	2.643000e+08	1.899000e-01	CIV 1548
C IV	1550.781000	2.628000e+08	9.475000e-02	CIV 1550
Si II	889.722800	0.000000e+00	4.340000e-02	SiII 889
Si II	989.873100	0.000000e+00	1.710000e-01	SiII 989
Si II	1020.698900	0.000000e+00	1.680000e-02	SiII 1020
Si II	1190.415800	4.080000e+09	2.920000e-01	SiII 1190
Si II	1193.289700	4.070000e+09	5.820000e-01	SiII 1193
Si II	1260.422100	2.950000e+09	1.180000e+00	SiII 1260
Si II	1304.370200	1.010000e+09	8.630000e-02	SiII 1304
Si II	1526.707000	1.130000e+09	1.270000e-01	SiII 1526
Si II	1808.012900	2.380000e+06	2.080000e-03	SiII 1808
Si II	2335.123000	9.610000e+03	4.250000e-06	SiII 2335
Si III	1206.500000	2.480000e+09	1.630000e+00	SiIII 1206
Si III	1892.030000	1.670000e+04	2.690000e-05	SiIII 1892
Si IV	1393.760200	8.800000e+08	5.130000e-01	SiIV 1393
Si IV	1402.772900	8.620000e+08	2.540000e-01	SiIV 1402
N V	1238.821000	3.391000e+08	1.560000e-01	NV 1238
N V	1242.804000	3.356000e+08	7.770000e-02	NV 1242
